1,2,3,4,5,6,7,8,9
105,334,1110,590,433,202,262,139,217
97,348,1108,612,399,183,286,130,211
99,366,1096,573,425,185,276,130,194
102,349,1026,636,410,163,238,117,230
104,350,1045,602,420,142,237,103,244
96,369,1001,587,423,130,228,96,265
102,386,1021,601,445,133,176,92,262
104,390,1028,652,423,166,154,104,269
110,388,1055,657,369,169,142,94,296
117,398,1090,642,386,147,150,89,299
143,402,914,634,528,173,232,105,261
168,425,841,596,470,167,203,98,248
168,414,873,603,472,168,180,85,256
179,452,877,609,436,169,191,92,244
152,469,892,579,457,201,151,105,213
148,482,914,541,408,175,134,114,192
158,491,923,542,392,150,151,116,180
163,522,956,513,438,145,130,123,168
193,525,963,507,416,159,137,116,161
202,580,956,481,424,137,123,97,152
204,585,974,544,404,127,105,95,134
220,580,992,528,398,104,110,101,124
225,588,1001,533,408,113,113,73,132
256,562,1018,528,400,104,117,80,114
278,596,1048,512,403,118,124,78,103
293,604,1071,512,395,130,117,67,96
314,622,1045,532,419,119,105,60,104
301,681,1113,540,417,96,127,61,92